bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptItemList,rewardsReceiptStatus,totalSpent,userId,id,rewardsReceiptItemList_barcode,rewardsReceiptItemList_description,rewardsReceiptItemList_finalPrice,rewardsReceiptItemList_itemPrice,rewardsReceiptItemList_needsFetchReview,rewardsReceiptItemList_partnerItemId,rewardsReceiptItemList_preventTargetGapPoints,rewardsReceiptItemList_quantityPurchased,rewardsReceiptItemList_userFlaggedBarcode,rewardsReceiptItemList_userFlaggedNewItem,rewardsReceiptItemList_userFlaggedPrice,rewardsReceiptItemList_userFlaggedQuantity,rewardsReceiptItemList_originalMetaBriteBarcode,rewardsReceiptItemList_originalMetaBriteDescription,rewardsReceiptItemList_pointsNotAwardedReason,rewardsReceiptItemList_pointsPayerId,rewardsReceiptItemList_rewardsGroup,rewardsReceiptItemList_rewardsProductPartnerId,rewardsReceiptItemList_brandCode,rewardsReceiptItemList_competitorRewardsGroup,rewardsReceiptItemList_discountedItemPrice,rewardsReceiptItemList_originalReceiptItemText,rewardsReceiptItemList_itemNumber,rewardsReceiptItemList_needsFetchReviewReason,rewardsReceiptItemList_originalMetaBriteQuantityPurchased,rewardsReceiptItemList_pointsEarned,rewardsReceiptItemList_targetPrice,rewardsReceiptItemList_competitiveProduct,rewardsReceiptItemList_userFlaggedDescription,rewardsReceiptItemList_deleted,rewardsReceiptItemList_priceAfterCoupon,rewardsReceiptItemList_metabriteCampaignId
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,500.0,1609632000000.0,5.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '26.00', 'itemPrice': '26.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 5}",FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26.00,26.00,False,1,True,5.0,4011,True,26.00,5.0,,,,,,,,,,,,,,,,,,,,
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687483000,1609687483000,1609687483000.0,1609687488000,1609687483000.0,150.0,1609601083000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,11.0,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687537000,1609687537000,,1609687542000,,5.0,1609632000000.0,1.0,"{'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 3}",REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,,,,,False,1,True,,4011,True,26.00,3.0,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687534000,1609687534000,1609687534000.0,1609687539000,1609687534000.0,5.0,1609632000000.0,4.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '28.00', 'itemPrice': '28.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 4, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '28.00', 'userFlaggedQuantity': 4}",FINISHED,28.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28.00,28.00,False,1,True,4.0,4011,True,28.00,4.0,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687506000,1609687506000,1609687511000.0,1609687511000,1609687506000.0,5.0,1609601106000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687524000,1609687524000,1609687525000.0,1609687530000,1609687525000.0,750.0,1609601124000.0,1.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '3.25', 'itemPrice': '3.25', 'needsFetchReview': False, 'originalMetaBriteBarcode': '028400642255', 'originalMetaBriteDescription': 'DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ', 'partnerItemId': '1', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5fbe4b03c9a25efd0ba', 'preventTargetGapPoints': True, 'quantityPurchased': 1, 'rewardsGroup': 'DORITOS SPICY SWEET CHILI SINGLE SERVE', 'rewardsProductPartnerId': '5332f5fbe4b03c9a25efd0ba', 'userFlaggedBarcode': '4011'}",FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,False,1,True,1.0,4011,,,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687501000,1609687501000,1609687502000.0,1609687502000,1609687502000.0,5.0,1609687501000.0,1.0,"{'brandCode': 'MISSION', 'competitorRewardsGroup': 'TACO BELL TACO SHELLS', 'description': 'MSSN TORTLLA', 'discountedItemPrice': '2.23', 'finalPrice': '2.23', 'itemPrice': '2.23', 'originalReceiptItemText': 'MSSN TORTLLA', 'partnerItemId': '1009', 'quantityPurchased': 1}",FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,,1009,,1.0,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,,,,,,,,
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687460000,1609687460000,1609687461000.0,1609687461000,1609687461000.0,500.0,1609027200000.0,1.0,"{'barcode': '046000832517', 'brandCode': 'BRAND', 'description': 'Old El Paso Mild Chopped Green Chiles, 4.5 Oz', 'finalPrice': '10.00', 'itemPrice': '10.00', 'partnerItemId': '0', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5f3e4b03c9a25efd0ae', 'quantityPurchased': 1, 'rewardsGroup': 'OLD EL PASO BEANS & PEPPERS', 'rewardsProductPartnerId': '5332f5f3e4b03c9a25efd0ae'}",FINISHED,10.0,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,,0,,1.0,,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,BRAND,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687533000,1609687533000,1609687534000.0,1609687538000,1609687534000.0,5.0,1609632000000.0,5.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 5}",FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,5.0,4011,True,20.00,5.0,,,,,,,,,,,,,,,,,,,,
250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,250.0,1609632000000.0,3.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 3, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 3}",FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,3.0,4011,True,20.00,3.0,,,,,,,,,,,,,,,,,,,,
