user_id,receipt_id,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,originalMetaBriteBarcode,originalMetaBriteDescription,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,needsFetchReviewReason,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,userFlaggedDescription,deleted,priceAfterCoupon,metabriteCampaignId
5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26.00,26.00,False,1,True,5.0,4011,True,26.00,5.0,,,,,,,,,,,,,,,,,,,,
5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,,,,,False,1,True,,4011,True,26.00,3.0,,,,,,,,,,,,,,,,,,,,
5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28.00,28.00,False,1,True,4.0,4011,True,28.00,4.0,,,,,,,,,,,,,,,,,,,,
5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,False,1,True,1.0,4011,,,,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,,,,,,,,,,,,,
5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,,1009,,1.0,,,,,,,,,,,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,,,,,,,,,,
5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,,0,,1.0,,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,BRAND,,,,,,,,,,,,,
5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,5.0,4011,True,20.00,5.0,,,,,,,,,,,,,,,,,,,,
5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,3.0,4011,True,20.00,3.0,,,,,,,,,,,,,,,,,,,,
